"no_of_dependents","education","self_employed","annual_income","loan_amount","loan_term","credit_score","residential_assets_value","commercial_assets_value","luxury_assets_value","bank_asset_value","loan_status"
0.4,1,0,1.61778952682527,17.2133690718057,0.555555555555556,1.03267143521603,14.6909797119848,16.6834095168266,16.9378755265045,15.8949522246441,1
0,0,1,-0.341709528892754,16.3169465916707,0.333333333333333,-1.06092690045806,14.8087627013449,14.6039683728739,15.9902623930848,15.009433329467,0
0.6,1,0,1.43965324903272,17.206657637443,1,-0.544776618255861,15.7756054828566,15.3195881769627,17.3210679849807,16.3649558070148,0
0.6,1,0,1.11900794900613,17.2397732451307,0.333333333333333,-0.770954831805139,16.7169322069921,15.009433329467,16.9639639614544,15.8823734440195,0
1,0,1,1.68904403794228,17.0018632324492,1,-1.2639073485151,16.3332071112204,15.9196448341857,17.1965052663225,15.4249486703984,0
0,1,1,-0.0923187399831883,16.4182003174827,0.444444444444444,-1.62927215501778,15.7324333172051,15.9317661932487,16.4329064637911,15.444751293773,0
1,1,0,1.29714422679868,17.3120181497338,0.111111111111111,0.452727297910185,16.9290259116191,16.5101378063019,17.1896793014851,15.2741258132219,1
0.4,1,1,0.228326560043397,16.5235608257331,1,-1.2639073485151,16.3957274633142,15.5559769082434,16.2836101741817,15.607270193859,0
0,1,1,-1.51740896232357,14.6039683728739,1,1.05586920070826,14.0778755916622,13.5923682566493,14.8451303322882,13.3046866008636,1
1,0,0,-1.41052719564804,15.2741258132219,0.444444444444444,-1.22911070027675,14.9786616802699,14.1519835088709,15.009433329467,14.2855148122098,0
0.8,1,1,-0.769236595594868,16.231424425551,0,-0.306999521960466,15.9073747430994,15.3630732794462,16.0668024618339,14.946912992036,1
0.4,0,1,0.584599115628491,16.9378755265045,0.888888888888889,-0.359194494317992,16.5433634517221,15.5733686479304,16.8310455078341,15.6718087045799,0
0.6,0,1,-0.0210642288661694,16.2665157422835,0.777777777777778,-1.67566768600225,15.6718087045799,16.0772737606047,16.4965321551717,15.2741258132219,0
0.4,1,1,1.43965324903272,17.2654981355419,0.666666666666667,0.458526739283244,16.195056784687,16.6249133135677,16.8552597647819,15.4249486703984,1
0.2,0,0,-1.12550915117996,15.8169906933095,0.222222222222222,-0.759355949059022,14.4573649704523,13.9978329480912,15.5904630783675,14.4573649704523,0
1,0,0,-0.127945995541698,16.1857543928901,0.444444444444444,1.12546249718496,15.5559769082434,15.1764873675101,16.61279195377,15.2971153261612,1
0.4,1,1,-1.62429072899909,14.2855148122098,0.111111111111111,0.365735677314309,14.0778755916622,11.5129354649202,14.0778755916622,13.458837042596,1
0.8,0,1,-0.769236595594868,16.0562203536232,0.666666666666667,1.04427031796214,14.8802216397842,14.8451303322882,15.7176182336149,15.2741258132219,1
0.4,1,0,-0.840491106711887,16.1476545502872,0.444444444444444,0.789094897547573,13.8155115579638,0,15.6400600113056,15.009433329467,1
1,1,0,0.442090093394453,16.4965321551717,0.555555555555556,0.301941822210667,16.1476545502872,15.0682738121739,16.9725110216676,15.5904630783675,1
0.4,1,0,-0.0210642288661694,16.7807836755799,0.555555555555556,-1.65246992051002,16.0668024618339,14.2855148122098,16.705882371416,15.623799493078,0
0.8,1,0,0.263953815601906,16.4545679590081,0.777777777777778,-0.405590025302459,15.1505118878545,16.2403133721781,16.9156028918876,15.5019096967197,0
0.8,1,1,0.513344604511472,17.062001588776,0.888888888888889,-1.67566768600225,16.3881228645073,14.3461393972616,16.785925074816,15.9555768391076,0
0,0,1,-1.62429072899909,14.1519835088709,0,-0.283801756468232,13.7101511534169,13.3046866008636,13.9108216468591,12.6115410869661,1
0,0,0,-0.0566914844246788,16.0978930456816,0.777777777777778,-1.60027494815249,15.1505118878545,15.9788336985673,16.1180957509583,15.009433329467,0
1,0,0,-0.697982084477849,16.0668024618339,1,-0.498381087271394,15.8823734440195,14.946912992036,15.7025803585118,14.771022387607,0
0.8,1,0,1.11900794900613,17.1512801698912,0.555555555555556,0.557117242625236,16.25785768029,16.1763646534219,17.0463149932234,15.7895917228752,1
